"nazev","adresa"
"Reálné gymnázium a základní škola Otto Wichterleho, Prostějov","Studentská 4 , Prostějov 796 01"
"Střední odborná škola a Základní škola, Město Albrechtice, příspěvková organizace","Nemocniční 117 , Město Albrechtice 793 95"
"Základní škola a Střední škola Karla Herforta, Praha 1, Josefská 4","Josefská 641 , Praha 118 00"
"Škola Jaroslava Ježka, Mateřská škola, základní škola, praktická škola a základní umělecká škola pro zrakově postižené, Praha 1, Loretánská 19 a 17","Loretánská 104 , Praha 118 00"
"Základní škola a Mateřská škola při Všeobecné fakultní nemocnici, Praha 2, Ke Karlovu 2","Ke Karlovu 455 , Praha 120 00"
"Základní škola a Střední škola, Praha 2, Vinohradská 54","Vinohradská 920 , Praha 120 00"
"Gymnázium, Střední odborná škola, Základní škola a Mateřská škola pro sluchově postižené, Praha 2, Ječná 27","Ječná 530 , Praha 120 00"
"Základní škola pro žáky s poruchami zraku, Praha 2, nám. Míru 19","náměstí Míru 601 , Praha 120 00"
"Soukromá základní škola Integrál pro žáky se specifickými poruchami učení, s.r.o.","Jana Masaryka 360 , Praha 120 00"
"Základní škola Zahrádka, Praha 3, U Zásobní zahrady 8","U zásobní zahrady 2445 , Praha 130 00"
"Mateřská škola a základní škola speciální Diakonie ČCE Praha","V zápolí 1250 , Praha 141 00"
"Základní škola, Praha 4, Ružinovská 2017","Ružinovská 2017 , Praha 142 00"
"Základní škola a Střední škola, Praha 4, Kupeckého 576","Kupeckého 576 , Praha 149 00"
"Česko Britská Základní Škola, s.r.o.","K lesu 558 , Praha 142 00"
"Základní škola, Praha 5, Pod Radnicí 5","Pod radnicí 315 , Praha 150 00"
"Základní škola Lužiny, Praha 5, Trávníčkova 1743","Trávníčkova 1743 , Praha 155 00"
"Základní škola a Mateřská škola při FN Motol, Praha 5, V Úvalu 1","V úvalu 175 , Praha 150 00"
"Střední škola, Základní škola a Mateřská škola pro sluchově postižené, Praha 5, Výmolova 169","Výmolova 169 , Praha 150 00"
"Základní škola pro žáky se specifickými poruchami chování","Na Zlíchově 254 , Praha 152 00"
"Základní škola Vokovice","Vokovická 32 , Praha 160 00"
"Základní škola speciální a Praktická škola, Praha 6, Rooseveltova 8","Rooseveltova 169 , Praha 160 00"
"Základní škola pro žáky se specifickými poruchami učení, Praha 6 - Řepy, U Boroviček 3","U boroviček 649 , Praha 163 00"
"Základní škola a Mateřská škola při Nemocnici Na Bulovce","Bulovka 1606 , Praha 180 00"
"Základní škola LOPES Čimice, Praha 8, Libčická 399","Libčická 399 , Praha 181 00"
"Církevní základní škola logopedická Don Bosco a mateřská škola logopedická","Dolákova 555 , Praha 181 00"
"Základní škola při Psychiatrické nemocnici Bohnice, Praha 8, Ústavní 91","Ústavní 91 , Praha 181 00"
"Mateřská škola a Základní škola, Praha 9, Bártlova 83","Bártlova 83 , Praha 193 00"
"Základní škola, Praha 10, Práčská 37","Práčská 159 , Praha 106 00"
"Základní škola a střední škola waldorfská","Křejpského 1501 , Praha 149 00"
"Střední škola, Základní škola a Mateřská škola, Praha 10, Chotouňská 476","Chotouňská 476 , Praha 108 00"
"Základní škola a Střední škola, Praha 10, Vachkova 941","Vachkova 941 , Praha 104 00"
"Základní škola speciální, Praha 10, Starostrašnická 45","Starostrašnická 120 , Praha 100 00"
"Základní škola a Dětský domov Sedlec - Prčice, Přestavlky 1, příspěvková organizace","1 , Sedlec-Prčice 257 91"
