"nazev","adresa"
"Základní škola Jungmannovy sady Mělník, příspěvková organizace","Tyršova 93 , Mělník 276 01"
"Základní škola Mělník, Jaroslava Seiferta 148, příspěvková organizace","Jaroslava Seiferta 148 , Mělník 276 01"
"Základní škola Mělník - Mlazice, příspěvková organizace","Českolipská 1386 , Mělník 276 01"
"Základní škola Jindřicha Matiegky Mělník, příspěvková organizace","Pražská 2817 , Mělník 276 01"
"Základní škola Mělník - Pšovka, příspěvková organizace","Blahoslavova 2461 , Mělník 276 01"
"Základní škola Ing. M. Plesingera - Božinova Neratovice","Školní 900 , Neratovice 277 11"
"Základní škola a Mateřská škola Chvatěruby, okres Mělník","46 , Chvatěruby 278 01"
"Základní škola a mateřská škola Ledčice, okres Mělník, příspěvková organizace","179 , Ledčice 277 08"
"Základní škola a mateřská škola Malý Újezd, okres Mělník, příspěvková organizace","49 , Malý Újezd 277 31"
"Základní škola a Mateřská škola Mělnické Vtelno, okres Mělník","Hlavní 149 , Mělnické Vtelno 277 38"
"Základní škola a Mateřská škola Nebužely, příspěvková organizace","47 , Nebužely 277 34"
"Základní škola Nelahozeves, okres Mělník","Školní 55 , Nelahozeves 277 51"
"Základní škola a Mateřská škola Nedomice okres Mělník","78 , Nedomice 277 14"
"Základní škola a Mateřská škola Řepín","Hlavní 43 , Řepín 277 33"
"Základní škola Velký Borek, okres Mělník, příspěvková organizace","Školní 11 , Velký Borek 277 31"
"Základní škola Vraňany, okres Mělník, příspěvková organizace","67 , Vraňany 277 07"
"Základní škola Záryby, příspěvková organizace","92 , Záryby 277 13"
"Základní škola a Mateřská škola Želízy, okres Mělník, příspěvková organizace","58 , Želízy 277 21"
"Základní škola a Mateřská škola Cítov, okres Mělník","3 , Cítov 277 04"
"Základní škola a Mateřská škola Dřísy","Hlavní 89 , Dřísy 277 14"
"Základní škola a Mateřská škola Horní Počaply","225 , Horní Počaply 277 03"
"Základní škola Hořín, okres Mělník, příspěvková organizace","3 , Hořín 276 01"
"Základní škola Kralupy nad Vltavou, 28. října 182, okres Mělník, příspěvková organizace","28. října 182 , Kralupy nad Vltavou 278 01"
"Základní škola Tišice, okres Mělník","Školní 74 , Tišice 277 15"
"Základní škola a mateřská škola Všetaty - okres Mělník, příspěvková organizace","Komenského 375 , Všetaty 277 16"
"Základní škola a mateřská škola Vysoká, okres Mělník","10 , Vysoká 277 24"
"Základní škola a Mateřská škola Byšice, okres Mělník","Komenského 200 , Byšice 277 32"
"Základní škola a mateřská škola Dolní Beřkovice, příspěvková organizace","Nádražní 250 , Dolní Beřkovice 277 01"
"Základní škola T. Stolzové Kostelec nad Labem, příspěvková organizace","nám. Komenského 288 , Kostelec nad Labem 277 13"
"Základní škola Kralupy nad Vltavou, Gen. Klapálka 1029, okres Mělník, příspěvková organizace","Gen. Klapálka 1029 , Kralupy nad Vltavou 278 01"
"Základní škola Václava Havla v Kralupech nad Vltavou, příspěvková organizace","Revoluční 682 , Kralupy nad Vltavou 278 01"
"Základní škola a Mateřská škola Kralupy nad Vltavou, Třebízského 523, okres Mělník, příspěvková organizace","Třebízského 523 , Kralupy nad Vltavou 278 01"
"Základní škola a mateřská škola Václava Levého Liběchov, příspěvková organizace","Za Školou 161 , Liběchov 277 21"
"Základní škola Lužec nad Vltavou, příspěvková organizace","1. máje 4 , Lužec nad Vltavou 277 06"
"Základní škola Mšeno, příspěvková organizace","Boleslavská 360 , Mšeno 277 35"
"Základní škola Neratovice, 28. října 1157, okres Mělník","28. října 1157 , Neratovice 277 11"
"Základní škola Obříství, okres Mělník","Školní 84 , Obříství 277 42"
"Základní škola Veltrusy, příspěvková organizace","Opletalova 493 , Veltrusy 277 46"
"Základní škola Libiš, okres Mělník","Školní 180 , Libiš 277 11"
"Základní škola a Mateřská škola Čečelice, příspěvková organizace","Školní 57 , Čečelice 277 32"
"Základní škola a mateřská škola Úžice, příspěvková organizace","Kralupská 48 , Úžice 277 45"
"Základní škola a Mateřská škola Hostín u Vojkovic, okres Mělník","76 , Hostín u Vojkovic 277 44"
"Základní škola J. A. Komenského Kly, příspěvková organizace","70 , Kly 277 41"
"Základní škola se speciálními třídami Mělník, příspěvková organizace","Jaroslava Seiferta 179 , Mělník 276 01"
"Základní škola Kralupy nad Vltavou, Jodlova 111, příspěvková organizace","Jodlova 111 , Kralupy nad Vltavou 278 01"
"Základní škola a Praktická škola Neratovice, příspěvková organizace","Byškovická 85 , Neratovice 277 11"
"Základní škola a mateřská škola Čistá","77 , Čistá 294 23"
"Základní škola Chotětov, okres Mladá Boleslav","Husovo náměstí 7 , Chotětov 294 28"
"Základní škola a mateřská škola Klášter Hradiště nad Jizerou","81 , Klášter Hradiště nad Jizerou 294 15"
"Základní škola a mateřská škola Kostelní Hlavno, okres Praha - východ","97 , Kostelní Hlavno 294 76"
"Základní škola a mateřská škola Předměřice nad Jizerou, okres Mladá Boleslav","143 , Předměřice nad Jizerou 294 74"
"Základní škola a mateřská škola Sojovice okres Mladá Boleslav","88 , Sojovice 294 75"
"Základní škola a Mateřská škola Žďár","102 , Žďár 294 12"
"Základní škola Katusice, okres Mladá Boleslav","nám. Budovatelů 39 , Katusice 294 25"
"Základní škola a Mateřská škola Krnsko","75 , Krnsko 294 31"
"Základní škola a Mateřská škola Dalovice, příspěvková organizace","32 , Dalovice 293 01"
"Základní škola Bakov nad Jizerou, okres Mladá Boleslav","Palackého 278 , Bakov nad Jizerou 294 01"
"Základní škola Bělá pod Bezdězem, příspěvková organizace","Máchova 1110 , Bělá pod Bezdězem 294 21"
"Základní škola Benátky nad Jizerou, Husovo náměstí 55","Husovo náměstí 55 , Benátky nad Jizerou 294 71"
"Základní škola Benátky nad Jizerou, Pražská 135","Pražská 135 , Benátky nad Jizerou 294 71"
"Základní škola a mateřská škola Václava Vaňka","Školní 242 , Bezno 294 29"
"Masarykova základní škola a mateřská škola Brodce, příspěvková organizace","Rudé armády 300 , Brodce 294 73"
"Základní škola a Mateřská škola Březno","115 , Březno 294 06"
"Základní škola a mateřská škola Čachovice, příspěvková organizace","Komenského 96 , Čachovice 294 43"
"Základní škola a mateřská škola Dobrovice","Komenského 46 , Dobrovice 294 41"
"Základní škola T. G. Masaryka a Mateřská škola Dolní Bousov","Školní 74 , Dolní Bousov 294 04"
"Základní škola a mateřská škola Dolní Slivno, příspěvková organizace","40 , Dolní Slivno 294 78"
"Základní škola a mateřská škola, Kněžmost, okres Mladá Boleslav","Na Františku 75 , Kněžmost 294 02"
"Základní škola Luštěnice, okres Mladá Boleslav","Boleslavská 160 , Luštěnice 294 42"
"Základní škola Mladá Boleslav, Komenského nám. 76, příspěvková organizace","Komenského náměstí 76 , Mladá Boleslav 293 01"
"Základní škola Mladá Boleslav, Komenského nám. 91, příspěvková organizace","Komenského náměstí 91 , Mladá Boleslav 293 01"
"Základní škola Dr. Edvarda Beneše Mladá Boleslav, Laurinova 905, příspěvková organizace","Laurinova 905 , Mladá Boleslav 293 01"
"Základní škola T. G. Masaryka a Mateřská škola Mladá Boleslav, Svatovítská 574, příspěvková organizace","Svatovítská 574 , Mladá Boleslav 293 01"
"Základní škola a Mateřská škola Mladá Boleslav, 17. listopadu 1325, příspěvková organizace","17. listopadu 1325 , Mladá Boleslav 293 01"
"Základní škola a Mateřská škola Mladá Boleslav, Jilemnického 1152, příspěvková organizace","Jilemnického 1152 , Mladá Boleslav 293 01"
"Základní škola Mladá Boleslav, Václavkova 1082, příspěvková organizace","Václavkova 1082 , Mladá Boleslav 293 01"
"Masarykova základní škola a Mateřská škola Debř, Mladá Boleslav, Bakovská 7, příspěvková organizace","Bakovská 7 , Mladá Boleslav 293 01"
"Základní škola Mnichovo Hradiště, Sokolovská 254, příspěvková organizace","Sokolovská 254 , Mnichovo Hradiště 295 01"
"Masarykova základní škola a mateřská škola Semčice","3 , Semčice 294 46"
"Základní škola a mateřská škola Skalsko, okres Mladá Boleslav","23 , Skalsko 294 26"
"Základní škola a Mateřská škola Mladá Boleslav, Václavkova 1040, příspěvková organizace","Václavkova 1040 , Mladá Boleslav 293 01"
"Základní škola Kosmonosy, Podzámecká 1, okres Mladá Boleslav, příspěvková organizace","Podzámecká 1 , Kosmonosy 293 06"
"Základní škola a Mateřská škola Jivina","9 , Jivina 294 14"
"Základní škola a Mateřská škola Loukovec okres Mladá Boleslav","90 , Loukovec 294 11"
"Základní škola T. G. Masaryka Poděbrady, Školní 556, okres Nymburk","Školní 556 , Poděbrady 290 01"
"Základní škola Libice nad Cidlinou, okres Nymburk","Školní 465 , Libice nad Cidlinou 289 07"
"Základní škola Kostomlaty nad Labem, příspěvková organizace","Školní 402 , Kostomlaty nad Labem 289 21"
"Základní škola G. A. Lindnera Rožďalovice","Tyršova 278 , Rožďalovice 289 34"
"Základní škola a mateřská škola Křečkov","68 , Křečkov 290 01"
"Základní škola a Mateřská škola Tatce","Ke Hřišti 195 , Tatce 289 11"
"Základní škola Václava Havla, Poděbrady, Na Valech 45, okres Nymburk","Na Valech 45 , Poděbrady 290 01"
"Základní škola T. G. Masaryka Milovice","Školská 112 , Milovice 289 24"
"Masarykova základní škola a Mateřská škola Dymokury","Osvobození 212 , Dymokury 289 01"
"Základní škola T. G. Masaryka Lysá nad Labem, Litol - Palackého 160, okres Nymburk","Palackého 160 , Lysá nad Labem 289 22"
"Základní škola a Mateřská škola Hradištko, okres Nymburk","86 , Hradištko 289 12"
"Základní škola Sadská","Karoliny Světlé 386 , Sadská 289 12"
"Základní škola Běrunice, okres Nymburk","Hlavní 77 , Běrunice 289 08"
"Základní škola Kněžice, okres Nymburk","5 , Kněžice 289 02"
"Základní škola a mateřská škola Krchleby, okres Nymburk","Nymburská 82 , Krchleby 288 02"
"Základní škola a mateřská škola Loučeň","Ke Škole 381 , Loučeň 289 37"
"Základní škola a mateřská škola Opočnice, okres Nymburk","23 , Opočnice 289 04"
"Základní škola a mateřská škola Hrubý Jeseník, okres Nymburk","123 , Hrubý Jeseník 289 32"
"Základní škola a Mateřská škola Žehuň, okres Kolín","52 , Žehuň 289 05"
"Základní škola a Mateřská škola Křinec - příspěvková organizace","Školní 301 , Křinec 289 33"
"Základní škola Bedřicha Hrozného Lysá nad Labem, nám. B. Hrozného 12, okres Nymburk","Náměstí B. Hrozného 12 , Lysá nad Labem 289 22"
"Základní škola Městec Králové","Bezručova 723 , Městec Králové 289 03"
"Základní škola a Mateřská škola Nymburk, Letců R.A.F. 1989 - příspěvková organizace","Letců R. A. F. 1989 , Nymburk 288 02"
"Základní škola a Mateřská škola Nymburk, Komenského 589 - příspěvková organizace","Komenského 589 , Nymburk 288 02"
"Základní škola a Mateřská škola Záhornice, okres Nymburk","Hlavní 77 , Záhornice 289 03"
"Základní škola a mateřská škola Straky","98 , Straky 289 25"
"Masarykova základní škola a mateřská škola Bobnice","Kovanská 171 , Bobnice 289 31"
"Základní škola Kostelní Lhota, okres Nymburk","5 , Kostelní Lhota 289 12"
"Základní škola Kounice, okres Nymburk","363 , Kounice 289 15"
"Základní škola a Mateřská škola Nymburk, Tyršova 446 - příspěvková organizace","Tyršova 446 , Nymburk 288 02"
"Základní škola Semice, okres Nymburk","111 , Semice 289 17"
"Základní škola a mateřská škola plukovníka Bedřicha Krátkorukého, Hořátev","79 , Hořátev 289 13"
"Základní škola Budiměřice, okres Nymburk","28 , Budiměřice 288 02"
"Základní škola a Mateřská škola Dvory, okres Nymburk, příspěvková organizace","40 , Dvory 288 02"
"Základní škola Kovanice, okres Nymburk","69 , Kovanice 288 02"
"Základní škola J. A. Komenského Lysá nad Labem, Komenského 1534, okres Nymburk","Komenského 1534 , Lysá nad Labem 289 22"
"Základní škola a mateřská škola Hovorčovice, příspěvková organizace","Revoluční 903 , Hovorčovice 250 64"
"Základní škola a Mateřská škola Sibřina, příspěvková organizace","Říčanská 100 , Sibřina 250 84"
"Základní škola a Mateřská škola Radonice, příspěvková organizace","Kaštanová 473 , Radonice 250 73"
"Základní škola a Mateřská škola Bašť, příspěvková organizace","K Beckovu 142 , Bašť 250 85"
"Základní škola a mateřská škola Modletice, příspěvková organizace","19 , Modletice 251 01"
"Mateřská škola a základní škola Všestary","Pankrácká 73 , Všestary 251 63"
"Základní škola Stará Boleslav, Brandýs nad Labem - Stará Boleslav, Jungmannova 164, okres Praha - východ","Jungmannova 164 , Brandýs nad Labem-Stará Boleslav 250 01"
"Základní škola Na Výsluní, Brandýs nad Labem - Stará Boleslav, Kostelecká 1750, okres Praha - východ","Kostelecká 1750 , Brandýs nad Labem-Stará Boleslav 250 01"
"Základní škola Palachova Brandýs n. L.","Palachova 337 , Brandýs nad Labem-Stará Boleslav 250 01"
"Základní škola Čelákovice, J. A. Komenského 414, příspěvková organizace","J. A. Komenského 414 , Čelákovice 250 88"
"Základní škola a mateřská škola Čestlice","Na Návsi 3 , Čestlice 251 01"
"Základní škola Jirny, okres Praha - východ","Pražská 800 , Jirny 250 90"
"Základní škola a Mateřská škola Kojetice, příspěvková organizace","Moravcova 26 , Kojetice 250 72"
"Základní škola Mochov, okres Praha - východ","Na Dolejšku 287 , Mochov 250 87"
"Základní škola a Mateřská škola Brázdim, okres Praha - východ, příspěvková organizace","12 , Brázdim 250 63"
"Základní škola a Mateřská škola Sluhy","29 , Sluhy 250 63"
"Základní škola a mateřská škola Veleň","Hlavní 46 , Veleň 250 63"
"Základní škola a mateřská škola Nehvizdy","Pražská 14 , Nehvizdy 250 81"
"Základní škola a mateřská škola Husinec - Řež, příspěvková organizace","Ke Škole 17 , Husinec 250 68"
"Základní škola Šestajovice, okres Praha - východ","Komenského 158 , Šestajovice 250 92"
"Základní škola a Mateřská škola Zdiby, příspěvková organizace","U Školy 48 , Zdiby 250 66"
"Základní škola Čelákovice, Kostelní 457, příspěvková organizace","Kostelní 457 , Čelákovice 250 88"
"Základní škola a mateřská škola Dřevčice","36 , Dřevčice 250 01"
"Základní škola Kostelec u Křížků, okres Praha - východ","48 , Kostelec u Křížků 251 68"
"Základní škola Mirošovice, okres Praha - východ","Školní 211 , Mirošovice 251 66"
"Základní škola a Mateřská škola Senohraby, okres Praha - východ, příspěvková organizace","Školní 27 , Senohraby 251 66"
"Základní škola Emila Kolbena, příspěvková organizace","Revoluční 170 , Strančice 251 63"
"Základní škola a Mateřská škola Lázně Toušeň","Hlavní 74 , Lázně Toušeň 250 89"
"Základní škola Zeleneč, okres Praha - východ","Kasalova 454 , Zeleneč 250 91"
"Základní škola Škvorec, okres Praha - východ","Tyršova 130 , Škvorec 250 83"
"Základní škola a Mateřská škola Klecany, okres Praha - východ","375 , Klecany 250 67"
"Základní škola T. G. Masaryka Mnichovice okres Praha-východ., příspěvková organizace","Bezručova 346 , Mnichovice 251 64"
"Základní škola Mukařov","Školní 88 , Mukařov 251 62"
"Základní škola Vítězslava Hálka Odolena Voda","Školní 200 , Odolena Voda 250 70"
"1. základní škola Masarykovo nám. Říčany, příspěvková organizace","Masarykovo nám. 71 , Říčany 251 01"
"2. základní škola Bezručova Říčany, příspěvková organizace","Bezručova 94 , Říčany 251 01"
"Základní škola Velké Popovice, příspěvková organizace","Komenského 5 , Velké Popovice 251 69"
"Základní škola a Mateřská škola Panenské Břežany, okres Praha - východ","Hlavní 63 , Panenské Břežany 250 70"
"Základní škola a Mateřská škola Tehov","Svatojánská náves 78 , Tehov 251 01"
"Základní škola Kamenice, okres Praha - východ","Ringhofferova 57 , Kamenice 251 68"
"Základní škola Úvaly","Arnošta z Pardubic 8 , Úvaly 250 82"
"Základní škola a Základní umělecká škola Líbeznice, příspěvková organizace","Měšická 322 , Líbeznice 250 65"
"4. základní škola Nerudova Říčany, příspěvková organizace","Nerudova 481 , Říčany 251 01"
"Základní škola a mateřská škola Lety, okres Praha - západ","Karlštejnská 571 , Lety 252 29"
"Základní škola, mateřská škola a základní umělecká škola Hnízdo v Úněticích","Školní 2 , Únětice 252 62"
"Základní škola a Mateřská škola Tachlovice, příspěvková organizace","Toskánská náves 66 , Tachlovice 252 17"
"Základní škola a Mateřská škola Úhonice, okres Praha - západ","Kateřinská 43 , Úhonice 252 18"
"Základní škola a Mateřská škola Čisovice, okres Praha - západ","193 , Čisovice 252 04"
"Základní škola Dobřichovice","5. května 40 , Dobřichovice 252 29"
"Základní škola Dolany nad Vltavou","Ke Škole 24 , Dolany nad Vltavou 278 01"
"Základní škola Dolní Břežany, příspěvková organizace","Na Vršku 290 , Dolní Břežany 252 41"
"Základní škola Horoměřice, okres Praha - západ","Velvarská 310 , Horoměřice 252 62"
"Základní škola Hostivice","U Zámecké zdi 1704 , Hostivice 253 01"
"Základní škola Hradištko, okres Praha - západ","Školní 33 , Hradištko 252 09"
"Základní škola a Mateřská škola Chrášťany, okres Praha - západ","U Školy 41 , Chrášťany 252 19"
"Základní škola a Mateřská škola Chýně, okres Praha - západ","Bolzanova 800 , Chýně 253 03"
"Základní škola a Mateřská škola Jeneč, příspěvková organizace","Lidická 265 , Jeneč 252 61"
"ZÁKLADNÍ ŠKOLA A ZÁKLADNÍ UMĚLECKÁ ŠKOLA JESENICE, příspěvková organizace","K Rybníku 800 , Jesenice 252 42"
"Základní škola Jílové u Prahy","Komenského 365 , Jílové u Prahy 254 01"
"Základní škola Jinočany, příspěvková organizace","Pražská 54 , Jinočany 252 25"
"Základní škola a mateřská škola Kamenný Přívoz","53 , Kamenný Přívoz 252 82"
"Základní škola a Mateřská škola Kosoř, příspěvková organizace","Školská 38 , Kosoř 252 26"
"Základní škola Karla Hašlera Libčice nad Vltavou","5. května 68 , Libčice nad Vltavou 252 66"
"Základní škola a mateřská škola Líšnice, okres Praha - západ","19 , Líšnice 252 10"
"Základní škola Ořech, okres Praha-západ","Karlštejnská 54 , Ořech 252 25"
"Základní škola Průhonice, okres Praha - západ","Školní 191 , Průhonice 252 43"
"Základní škola Zdenky Braunerové Roztoky, příspěvková organizace","Školní nám. 470 , Roztoky 252 63"
"Základní škola Řevnice","Školní 600 , Řevnice 252 30"
"Základní škola Středokluky, příspěvková organizace","Školská 82 , Středokluky 252 68"
"Základní škola Štěchovice, okres Praha - západ, příspěvková organizace","Školní 122 , Štěchovice 252 07"
"Základní škola a Mateřská škola Třebotov, příspěvková organizace","Hlavní 190 , Třebotov 252 26"
"Základní škola a Mateřská škola Tuchoměřice, okres Praha - západ, příspěvková organizace","Školní 70 , Tuchoměřice 252 67"
"Základní škola Velké Přílepy","Pražská 740 , Velké Přílepy 252 64"
"Základní škola Vrané nad Vltavou, okres Praha - západ","U Školy 208 , Vrané nad Vltavou 252 46"
"Základní škola a mateřská škola Zlatníky - Hodkovice","Náves sv. Petra a Pavla 41 , Zlatníky-Hodkovice 252 41"
"Základní škola Zvole, příspěvková organizace","J. Štulíka 39 , Zvole 252 45"
"Základní škola Černošice, příspěvková organizace","Pod Školou 447 , Černošice 252 28"
"Základní škola a Mateřská škola Nučice, okres Praha - západ, příspěvková organizace","Kubrova 136 , Nučice 252 16"
"Základní škola Rudná, okres Praha - západ","Masarykova 878 , Rudná 252 19"
"Základní škola Davle","Školní 96 , Davle 252 06"
"Základní škola a Mateřská škola Slapy, okres Praha - západ","50 , Slapy 252 08"
"Základní škola Mníšek pod Brdy, okres Praha - západ","Komenského 420 , Mníšek pod Brdy 252 10"
"Základní škola, Mníšek pod Brdy, Komenského 886","Komenského 886 , Mníšek pod Brdy 252 10"
"Základní škola, Rudná, 5. května 583","5. května 583 , Rudná 252 19"
"Základní škola Bohutín, okres Příbram","37 , Bohutín 262 41"
"Základní škola Březnice","Rožmitálská 419 , Březnice 262 72"
"Základní škola Dobříš, Komenského nám. 35, okres Příbram","náměstí Komenského 35 , Dobříš 263 01"
"2. základní škola Dobříš, Školní 1035, okres Příbram","Školní 1035 , Dobříš 263 01"
"Základní škola a Mateřská škola Dolní Hbity, okres Příbram","44 , Dolní Hbity 262 62"
"Základní škola a Mateřská škola Hvožďany, okres Příbram, příspěvková organizace","2 , Hvožďany 262 44"
"Základní škola a Mateřská škola Chlum, okres Příbram","16 , Nalžovice 262 93"
"Základní škola a Mateřská škola Jesenice u Sedlčan","10 , Jesenice 264 01"
"Základní škola a mateřská škola Chraštice","44 , Chraštice 262 72"
"Základní škola a Mateřská škola Kamýk nad Vltavou, příspěvková organizace","141 , Kamýk nad Vltavou 262 63"
"Základní škola a Mateřská škola Krásná Hora n. Vlt.","103 , Krásná Hora nad Vltavou 262 56"
"Základní škola Milín, okres Příbram, příspěvková organizace","Školní 247 , Milín 262 31"
"Základní škola a Mateřská škola Nečín, okres Příbram","70 , Nečín 262 13"
"Masarykova základní škola a mateřská škola Obecnice, příspěvková organizace","255 , Obecnice 262 21"
"Základní škola a Mateřská škola Počepice, okres Příbram","41 , Počepice 262 55"
"Základní škola pod Svatou Horou, Příbram","Balbínova 328 , Příbram 261 01"
"Základní škola, Příbram - Březové Hory, Prokopská 337","Prokopská 337 , Příbram 261 01"
"Základní škola, Příbram II, Jiráskovy sady 273","Jiráskovy sady 273 , Příbram 261 01"
"Základní škola, Příbram VII, 28. října 1","28. října 1 , Příbram 261 01"
"Základní škola, Příbram VIII, Školní 75, příspěvková organizace","Školní 75 , Příbram 261 01"
"Základní škola Jakuba Jana Ryby Rožmitál pod Třemšínem","Komenského 543 , Rožmitál pod Třemšínem 262 42"
"1.základní škola Sedlčany, Primáře Kareše 68, okres Příbram","Primáře Kareše 68 , Sedlčany 264 01"
"2. základní škola - Škola Propojení Sedlčany, Příkrá 67, okres Příbram","Příkrá 67 , Sedlčany 264 01"
"Základní škola a Mateřská škola Dublovice, okres Příbram","56 , Dublovice 262 51"
"Základní škola a Mateřská škola Malá Hraštice, okres Příbram","57 , Malá Hraštice 262 03"
"Základní škola a Mateřská škola Mokrovraty, okres Příbram","63 , Mokrovraty 262 03"
"Základní škola, Nová Ves pod Pleší, okres Příbram","Za Poštou 86 , Nová Ves pod Pleší 262 04"
"Základní škola a Mateřská škola Obořiště, okres Příbram","100 , Obořiště 262 12"
"Základní škola a Mateřská škola Pičín, okres Příbram","23 , Pičín 262 25"
"Základní škola a Mateřská škola Rosovice, okres Příbram","89 , Rosovice 262 11"
"Základní škola a mateřská škola Solenice, okres Příbram","59 , Solenice 262 63"
"Základní škola a Mateřská škola Stará Huť, okres Příbram","U Školy 149 , Stará Huť 262 02"
"Základní škola a Mateřská škola Tochovice, příspěvková organizace","76 , Tochovice 262 81"
"Základní škola a Mateřská škola Višňová, okres Příbram","35 , Višňová 262 61"
"Základní škola a Mateřská škola Hluboš","116 , Hluboš 262 22"
"Základní škola a Mateřská škola Nechvalice, okres Příbram","25 , Nechvalice 264 01"
"Základní škola a Mateřská škola Suchodol, okres Příbram","39 , Suchodol 261 01"
"Základní škola a Mateřská škola Věšín, okres Příbram","14 , Věšín 262 43"
"Základní škola a Mateřská škola Kosova Hora","85 , Kosova Hora 262 91"
"Základní škola a Mateřská škola Jince","Slavíkova 26 , Jince 262 23"
"Základní škola a Mateřská škola, Klučenice, okres Příbram","1 , Klučenice 262 56"
"Základní škola a mateřská škola Petrovice, okres Příbram, příspěvková organizace","196 , Petrovice 262 55"
"Základní škola a Mateřská škola Vysoký Chlumec, příspěvková organizace","5 , Vysoký Chlumec 262 52"
"Základní škola a Mateřská škola Nový Knín","náměstí Jiřího z Poděbrad 53 , Nový Knín 262 03"
"Základní škola Dobříš, Lidická 384","Lidická 384 , Dobříš 263 01"
"Speciální základní škola Rožmitál pod Třemšínem","Komenského 622 , Rožmitál pod Třemšínem 262 42"
"Základní škola a mateřská škola J. A. Komenského v Novém Strašecí","Komenského náměstí 209 , Nové Strašecí 271 01"
"Základní škola a Mateřská škola Chrášťany, okres Rakovník","68 , Chrášťany 270 01"
"Základní škola a mateřská škola Krušovice, okres Rakovník","Rabasova 128 , Krušovice 270 53"
"Základní škola a Mateřská škola Lišany, okres Rakovník","Rakovnická 115 , Lišany 270 52"
"Základní škola a Mateřská škola Olešná, okres Rakovník","61 , Olešná 269 01"
"Základní škola a Mateřská škola Senomaty, okres Rakovník","Náměstí Karla Buriana 54 , Senomaty 270 31"
"Základní škola a Mateřská škola Zbečno, příspěvková organizace","23 , Zbečno 270 24"
"Základní škola a mateřská škola Pavlíkov, okres Rakovník","77 , Pavlíkov 270 21"
"Základní škola a Mateřská škola Kolešovice, okres Rakovník","235 , Kolešovice 270 02"
"Základní škola a Mateřská škola Čistá, okres Rakovník","Tyršova 127 , Čistá 270 34"
"Základní škola a mateřská škola Jesenice, okres Rakovník","Školní 323 , Jesenice 270 33"
"Základní škola a Mateřská škola Kounov, okres Rakovník","196 , Kounov 270 06"
"Základní škola a Mateřská škola Křivoklát","157 , Křivoklát 270 23"
"Základní škola Charlotty Garrigue Masarykové Lány, okres Kladno","Školní 93 , Lány 270 61"
"Základní škola a mateřská škola Lužná, příspěvková organizace","Masarykovo nám. 252 , Lužná 270 51"
"Základní škola Mutějovice, okres Rakovník","Husova 245 , Mutějovice 270 07"
"2. základní škola, Rakovník, Husovo náměstí 3","Husovo náměstí 3 , Rakovník 269 01"
"3. základní škola, Rakovník, Okružní 2331","Okružní 2331 , Rakovník 269 01"
"Základní škola a mateřská škola Slabce, okres Rakovník","42 , Slabce 270 41"
"Základní škola a Mateřská škola Šanov, okres Rakovník","91 , Šanov 270 31"
"Základní škola a Mateřská škola V Zahrádkách, Roztoky","230 , Roztoky 270 23"
"Základní škola a Mateřská škola Lubná, okres Rakovník","228 , Lubná 270 36"
"Základní škola a Mateřská škola Hředle, okres Rakovník","204 , Hředle 270 08"
"Základní škola a Mateřská škola Kněževes, okres Rakovník","Husovo náměstí 100 , Kněževes 270 01"
"1. základní škola, Rakovník, Martinovského 153","Martinovského 153 , Rakovník 269 01"
"Základní škola a mateřská škola Srubec","Slunečná 1100 , Srubec 370 06"
"Základní škola Máj II, M. Chlajna 23, České Budějovice","M. Chlajna 1347 , České Budějovice 370 05"
"Základní škola Máj I, M. Chlajna 21, České Budějovice","M. Chlajna 1319 , České Budějovice 370 05"
"Základní škola a Základní umělecká škola, Zliv, okr. České Budějovice","Lidická 315 , Zliv 373 44"
"Základní škola Trhové Sviny","Školní 713 , Trhové Sviny 374 01"
"Základní škola Dr. Miroslava Tyrše, Hrdějovice","Školní 108 , Hrdějovice 373 61"
"Základní škola a Mateřská škola, Vl. Rady 1, České Budějovice","Vl. Rady 962 , České Budějovice 370 08"
"Základní škola a Mateřská škola T. G. Masaryka, Rudolfovská 143, České Budějovice","Rudolfovská tř. 285 , České Budějovice 370 01"
"Základní škola Borovany","Petra z Lindy 13 , Borovany 373 12"
"Základní škola a Mateřská škola Kamenný Újezd","Plavnická 300 , Kamenný Újezd 373 81"
"Základní škola, základní umělecká škola a mateřská škola Ledenice","Náměstí 88 , Ledenice 373 11"
"Základní škola, Grünwaldova 13, České Budějovice","Grünwaldova 347 , České Budějovice 370 01"
"Základní škola a Mateřská škola, Kubatova 1, České Budějovice","Kubatova 2202 , České Budějovice 370 04"
"Základní škola, Matice školské 3, České Budějovice","Matice školské 62 , České Budějovice 370 01"
"Základní škola a základní umělecká škola, Bezdrevská 3, České Budějovice","Bezdrevská 1036 , České Budějovice 370 11"
"Základní škola Týn nad Vltavou, Malá Strana","Žižkova 285 , Týn nad Vltavou 375 01"
"Základní škola Týn nad Vltavou, Hlinecká","Komenského 748 , Týn nad Vltavou 375 01"
"Základní škola, České Budějovice, Oskara Nedbala 30","O. Nedbala 882 , České Budějovice 370 05"
"Základní škola a Mateřská škola, L. Kuby 48, České Budějovice","L. Kuby 1165 , České Budějovice 370 07"
"Základní škola a Mateřská škola J. Š. Baara, Jírovcova 9/a, České Budějovice","Jírovcova 1793 , České Budějovice 370 01"
"Základní škola a Mateřská škola Žimutice","28 , Žimutice 373 66"
"Základní škola, Dukelská 11, České Budějovice","Dukelská 258 , České Budějovice 370 01"
